,peakid,nb_members,death_rate,success_rate,pkname,heightm
120,KORL,52,0.0,0.0,Korlang Pari Tippa,5738
121,KTEG,139,0.0,0.05755395683453238,Kangtega,6783
122,KTUN,317,0.0,0.01892744479495268,Khatung Khang,6484
124,KYAB,25,0.0,0.2,Kyabura,6466
125,KYAS,86,0.0,0.06976744186046512,Kyashar,6770
126,KYR1,52,0.0,0.038461538461538464,Kyungka Ri 1,6599
128,LAMJ,68,0.0,0.0,Lamjung Himal,6983
129,LANG,172,0.005813953488372093,0.029069767441860465,Langtang Lirung,7227
130,LANR,32,0.0,0.0,Langtang Ri,7205
131,LAS2,25,0.0,0.0,Lashar II,6803
133,LCHA,563,0.0,0.012433392539964476,Lachama Chuli,6721
135,LDAK,194,0.0,0.10824742268041238,Langdak,6220
136,LDNG,421,0.0,0.021377672209026127,Langdung,6326
137,LEOE,16,0.0,0.0,Leonpo Gang East,6733
139,LHOM,144,0.0,0.0625,Lhotse Middle,8410
140,LHOT,14935,0.0006026113157013726,0.044258453297623034,Lhotse,8516
142,LIK2,20,0.0,0.2,Linkhu Chuli Nup,6659
143,LING,121,0.0,0.0,Lingtren,6713
145,LNAK,36,0.0,0.0,Lhonak,6070
146,LNJU,29,0.0,0.10344827586206896,Langju,6426
147,LSHR,381,0.005249343832020997,0.007874015748031496,Lhotse Shar,8382
148,LUGU,242,0.0,0.049586776859504134,Lugula,6899
150,MAK2,210,0.0,0.06190476190476191,Makalu II,7678
151,MAKA,8238,0.0016994416120417577,0.04212187424132071,Makalu,8485
152,MALA,34,0.0,0.0,Malanphulan,6573
153,MANA,36004,0.0009165648261304299,0.039467836907010334,Manaslu,8163
154,MARI,49,0.0,0.14285714285714285,Mariyang,6528
155,MERR,26,0.0,0.34615384615384615,Merra,6334
156,MNSL,25,0.0,0.16,Mansail,6235
157,MUKT,456,0.0,0.02850877192982456,Mukut Himal,6087
159,NAG1,57,0.0,0.017543859649122806,Nangpai Gosum I,7321
160,NAN2,81,0.0,0.1111111111111111,Nangamari II,6209
161,NANG,40,0.0,0.1,Nangamari I,6547
162,NEMJ,211,0.0,0.018957345971563982,Nemjung,7140
163,NEPA,81,0.0,0.037037037037037035,Nepal Peak,7177
169,NORB,243,0.0,0.0411522633744856,Norbu Kang,6085
170,NPHU,37,0.0,0.16216216216216217,Narphu,5921
171,NUMB,31,0.0,0.0,Numbur,6958
172,NUMR,49,0.0,0.061224489795918366,Numri,6635
173,NUPE,66,0.0,0.030303030303030304,Nuptse East I,7795
174,NUPK,537,0.0,0.040968342644320296,Nupche Kang,6576
175,NUPL,36,0.0,0.16666666666666666,Nup La Kang,6861
176,NUPT,423,0.002364066193853428,0.030732860520094562,Nuptse,7864
177,NUPW,29,0.0,0.10344827586206896,Nuptse West II,7732
178,OMIT,19,0.0,0.2631578947368421,Omitso Go,6332
179,PAN1,106,0.0,0.02830188679245283,Panpoche 1,6620
181,PANB,491,0.0,0.018329938900203666,Panbari,6905
182,PAND,29,0.0,0.20689655172413793,Pandra,6670
185,PASA,51,0.0196078431372549,0.1568627450980392,Pasang Lhamu Chuli,7350
186,PATR,62,0.0,0.04838709677419355,Patrasi Himal,6450
189,PETH,153,0.0,0.0196078431372549,Pethangtse,6739
194,PHUK,25,0.0,0.2,Phu Kang,6694
196,PK04,29,0.0,0.0,Peak 4,6736
197,PK41,73,0.0,0.0684931506849315,Peak 41,6648
198,PKAR,36,0.0,0.16666666666666666,Pankar Himal,6264
199,POKR,240,0.0,0.016666666666666666,Pokharkang,6372
200,POTA,17,0.0,0.29411764705882354,Pota Himal North,6182
201,PTHE,144,0.0,0.08333333333333333,Pethangtse East,6572
202,PUCH,45,0.0,0.0,Punchen Himal,6049
203,PUMO,4088,0.0019569471624266144,0.02813111545988258,Pumori,7138
204,PURB,62,0.0,0.03225806451612903,Purbung Himal,6500
205,PURK,129,0.0,0.07751937984496124,Purkhung,6126
206,PUTH,3714,0.0,0.04873451803984922,Putha Hiunchuli,7246
208,RAKS,97,0.010309278350515464,0.05154639175257732,Raksha Urai,6609
210,RAMT,49,0.0,0.0,Ramtang,6601
211,RATC,620,0.0,0.02258064516129032,Ratna Chuli,7035
212,RAUN,45,0.0,0.1111111111111111,Raungsiyar,6224
213,RIPI,40,0.0,0.25,Ripimo Shar,6647
214,ROCN,36,0.0,0.05555555555555555,Roc Noir,7485
216,ROLK,40,0.0,0.15,Rolwaling Kang,6664
